friends_count,boto_prob,followers_count,time
609,,352,2023/2/24
1,0.84,3,2023/9/10
95,,9,2023/8/7
1353,,397,2023/6/5
4138,0.42,3073,2023/3/4
554,,523,2023/3/22
4950,0.9,4328,2023/8/23
860,,181,2023/9/16
728,,371,2023/4/10
1551,0.36,58116,2023/4/23
180,,435,2023/3/5
1535,0.8,503587,2023/4/20
3717,0.64,1633,2022/12/16
52,,128,2022/12/8
509,,364,2023/5/7
3101,0.8,10497,2023/3/11
939,0.72,99,2023/9/25
4319,0.76,3557,2023/9/2
1349,0.82,1271,2023/3/13
11452,0.91,14830,2022/12/11
6768,,7422,2023/6/17
1095,0.8,784,2023/5/19
130,,15,2023/8/16
422,,140,2023/7/3
4337,0.8,3555,2023/4/12
11360,,18888,2022/12/12
935,0.79,654,2023/10/24
861,0.79,527,2023/3/6
10927,0.77,10646,2022/12/25
327,,67,2023/1/25
140,,4,2023/9/20
1,,0,2023/5/21
94,,14,2023/8/7
446,0.75,108,2023/10/6
7956,0.87,7195,2023/10/21
492,0.36,402,2022/11/30
37649,0.82,37592,2023/8/10
441,0.69,4630,2023/8/13
1071,0.33,625,2023/3/22
517,0.78,262076,2023/1/23
4908,0.81,3148,2023/10/7
7,,1,2023/2/26
33,,2,2023/6/3
327,0.75,119,2023/1/8
7848,0.8,7656,2023/9/27
1431,0.31,1148,2023/3/13
7511,0.39,201495,2023/2/19
216,,22,2023/5/3
374,0.8,227,2023/8/1
40488,0.8,841999,2023/1/2
18,,1,2023/5/3
4698,,4443,2023/4/7
529,,452,2023/3/23
6308,,7588,2023/6/23
1399,,883,2023/8/19
506,0.78,602,2023/4/18
240,,114,2023/2/27
3564,,3212,2023/4/24
177,,8,2023/2/5
5896,0.91,6048,2022/12/18
1719,0.8,231217,2023/6/12
10,,1,2023/6/3
569,0.36,494,2023/5/6
40,,7,2023/5/16
1331,0.31,1477,2023/4/27
4,,5,2023/6/12
14338,0.91,14004,2023/2/20
11777,0.94,14591,2023/7/3
815,,144,2023/6/1
67,,13,2023/5/31
293,,32,2023/1/11
77,,16,2023/1/2
85,,41,2023/8/18
91,,90,2023/10/3
1590,0.55,1115,2023/7/1
388,0.69,221,2023/8/27
